id,type,country,neighbor_count,In_Degree,Out_Degree,Tot_Degree,Count,Average_Weight,size,Community,Community_avg_weight,no_location,Connected_political_organization,Score,Suspicion rate
Spanish Shrimp  Carriers,company,Nalakond,84,35,61,96,1,0.872852059,0,0,0.859966164,0,1,0.253,4.22%
12744,organization,Unknown,3,1,3,4,379,0.911667113,0,1,0.859454355,1,0,1.75,29.17%
143129355,organization,Unknown,16,12,4,16,28,0.943097304,1,14,0.896611834,0,0,0.0,0.00%
7775,organization,Unknown,12,7,6,13,36,0.923140075,0,5,0.870361632,1,0,1.11,18.50%
1017141,organization,Unknown,3,0,3,3,578,0.88317702,0,5,0.870361632,1,0,2.7,45.00%
2591586,organization,Unknown,11,4,7,11,37,0.860634112,1,1,0.859454355,1,0,1.38,23.00%
185040354,organization,Unknown,42,30,19,49,3,0.876344227,1,2,0.858512917,0,1,-0.757,-12.62%
Faroe Islands Shrimp Shark,company,Rio Isla,164,121,88,209,1,0.862913598,20,2,0.858512917,0,1,-0.757,-12.62%
341411,organization,Unknown,192,102,151,253,1,0.865903417,30,4,0.868860929,0,1,-0.1169999999999999,-1.95%
21323516,organization,Unknown,3,3,0,3,578,0.823057857,0,0,0.859966164,1,0,2.06,34.33%
âvictimâ,Uncategorized,Unknown,1,0,1,1,383,0.9787477,-1,23,0.9787477,1,0,4.6,76.67%
âperpetratorâ,Uncategorized,Unknown,1,1,0,1,383,0.9787477,-1,23,0.9787477,1,0,3.96,66.00%
8561,organization,Unknown,1,1,0,1,383,0.936132,0,5,0.870361632,1,1,2.253,37.55%
William Bradley,person,Country_271835,7,1,6,7,110,0.862810176,-1,19,0.833679999,0,0,1.96,32.67%
Joseph Griffin,person,Country_271835,2,1,1,2,1014,0.85226524,-1,19,0.833679999,0,0,1.3199999999999998,22.00%
âŠâ,Uncategorized,Unknown,3,3,0,3,578,0.836845577,1,19,0.833679999,1,0,2.64,44.00%
853949688,organization,Unknown,1,0,1,1,383,0.82702225,0,2,0.858512917,1,0,3.65,60.83%
650512,organization,Unknown,3,3,0,3,578,0.87603535,0,2,0.858512917,1,0,2.06,34.33%
8,organization,Unknown,1,0,1,1,383,0.8487669,0,24,0.8487669,1,0,4.6,76.67%
128692,organization,Unknown,13,10,4,14,42,0.848292639,2,13,0.857723572,0,1,-0.757,-12.62%
172711,organization,Unknown,1,1,0,1,383,0.8462429,0,13,0.857723572,1,0,3.01,50.17%
Jacob Caldwell,person,Country_789455,15,6,9,15,32,0.903757791,-1,25,0.901522813,0,0,1.01,16.83%
14253815,organization,Unknown,2,0,2,2,1014,0.89933583,0,4,0.868860929,0,0,1.96,32.67%
4369922c-ce1d-40ff-904c-1f6a3000bf6b,location,Unknown,1,1,0,1,383,0.9236536,-1,4,0.868860929,0,0,2.27,37.83%
Saltwater Solitude GmbH & Co. KG,company,Country_271835,5,3,2,5,203,0.875645732,0,4,0.868860929,1,0,1.11,18.50%
PRK,Uncategorized,Unknown,5,3,2,5,203,0.839277094,-1,4,0.868860929,1,0,1.11,18.50%
âVikingâ,Uncategorized,Unknown,4,3,1,4,379,0.877329518,-1,4,0.868860929,1,0,1.11,18.50%
506,organization,Unknown,1,0,1,1,383,0.83026195,0,16,0.863440281,1,0,3.65,60.83%
4937447,organization,Unknown,3,2,1,3,578,0.84561965,0,16,0.863440281,0,0,0.37,6.17%
âregularâ,Uncategorized,Unknown,1,0,1,1,383,0.8324415,-1,16,0.863440281,1,0,3.65,60.83%
2079436,organization,Unknown,2,2,0,2,1014,0.837122,0,16,0.863440281,1,0,2.06,34.33%
Ann Daniels,person,Osterivaria,2,0,2,2,1014,0.9422529,-1,26,0.925970933,0,0,1.96,32.67%
Stephanie Mccormick MD,person,Osterivaria,2,1,1,2,1014,0.9334042,-1,26,0.925970933,0,0,0.37,6.17%
Lisa Clay,person,Country_271835,2,2,0,2,1014,0.9022557,-1,26,0.925970933,0,0,1.3199999999999998,22.00%
589,organization,Unknown,7,4,3,7,110,0.889825336,0,19,0.833679999,1,0,2.06,34.33%
Elizabeth Welch,person,Country_712875,7,2,7,9,59,0.880639692,-1,4,0.868860929,0,0,1.01,16.83%
da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,location,Unknown,2,1,2,3,578,0.899674867,-1,4,0.868860929,0,0,1.01,16.83%
Eugene Ochoa,person,Country_271835,1,1,0,1,383,0.8439235,-1,7,0.862319347,0,0,2.27,37.83%
967900443,organization,Unknown,14,5,14,19,16,0.849017356,2,7,0.862319347,1,1,0.6229999999999999,10.38%
Lisa Jimenez,person,Country_271835,2,2,0,2,1014,0.845017825,-1,4,0.868860929,0,0,1.3199999999999998,22.00%
1,organization,Unknown,13,10,5,15,32,0.847477701,2,2,0.858512917,0,0,0.0,0.00%
445a6124-4650-4e5a-83bb-a0e0b4040ee9,location,Unknown,1,0,1,1,383,0.815024,-1,4,0.868860929,0,0,2.91,48.50%
Martha Robbins,person,Country_271835,2,0,2,2,1014,0.91569608,-1,27,0.916747963,0,0,1.96,32.67%
Don Hopkins,person,Country_271835,2,1,1,2,1014,0.913078545,-1,27,0.916747963,0,0,0.37,6.17%
Joseph Gray,person,Country_271835,2,2,0,2,1014,0.921469265,-1,27,0.916747963,0,0,1.3199999999999998,22.00%
4,organization,Unknown,31,3,32,35,29,0.855092049,1,2,0.858512917,0,1,0.8329999999999999,13.88%
4975,organization,Unknown,8,3,6,9,59,0.845087422,2,2,0.858512917,1,0,1.38,23.00%
7282284,organization,Unknown,3,2,1,3,578,0.834260633,0,2,0.858512917,1,0,1.11,18.50%
0,organization,Unknown,13,6,7,13,36,0.905740524,1,5,0.870361632,0,0,0.0,0.00%
Sean Vasquez,person,Country_271835,3,2,1,3,578,0.94576476,-1,5,0.870361632,0,0,0.37,6.17%
196159,organization,Unknown,23,5,19,24,5,0.838549561,0,5,0.870361632,0,1,1.2029999999999998,20.05%
755,organization,Unknown,11,7,4,11,37,0.926038785,0,5,0.870361632,0,1,-0.387,-6.45%
860067396,organization,Unknown,2,1,1,2,1014,0.81670382,0,0,0.859966164,1,0,1.11,18.50%
664738735,organization,Unknown,13,10,4,14,42,0.881092965,1,0,0.859966164,1,0,0.74,12.33%
290834957,organization,Unknown,34,18,20,38,3,0.870863086,1,2,0.858512917,0,1,0.1929999999999999,3.22%
Timothy Reeves,person,Country_271835,7,5,3,8,65,0.91105667,-1,5,0.870361632,0,0,0.37,6.17%
457009514,organization,Unknown,5,4,2,6,139,0.847838077,2,2,0.858512917,1,0,0.74,12.33%
6043477,organization,Unknown,4,2,2,4,379,0.870648735,0,5,0.870361632,1,0,1.11,18.50%
526269,organization,Unknown,13,13,0,13,36,0.901906301,2,2,0.858512917,0,1,0.1929999999999999,3.22%
Jason Cameron,person,Oceanus,6,2,4,6,139,0.83663412,-1,2,0.858512917,0,0,1.01,16.83%
77b46bc7-7e31-41a0-973c-e633011d21b0,location,Unknown,29,16,14,30,8,0.87291281,-1,2,0.858512917,0,0,0.37,6.17%
7,organization,Unknown,7,3,5,8,65,0.877862858,0,16,0.863440281,0,1,3.263,54.38%
35,organization,Unknown,10,5,5,10,35,0.84643896,0,2,0.858512917,0,1,-0.387,-6.45%
6406040,political_organization,Unknown,23,15,9,24,5,0.870055295,-1,2,0.858512917,0,0,1.3199999999999998,22.00%
Jamie Knox,person,Country_271835,2,2,0,2,1014,0.82582905,-1,2,0.858512917,0,0,1.3199999999999998,22.00%
Kristin Graham,person,Country_271835,1,1,0,1,383,0.83086324,-1,2,0.858512917,0,0,2.27,37.83%
99575926,organization,Unknown,4,4,1,5,203,0.903931892,1,2,0.858512917,1,0,0.74,12.33%
72371354,political_organization,Unknown,2,2,0,2,1014,0.94001395,-1,4,0.868860929,0,0,1.3199999999999998,22.00%
55,organization,Unknown,7,3,4,7,110,0.839557326,0,3,0.865361844,0,1,-0.387,-6.45%
