type,country,id,neighbor_count
company,Nalakond,Spanish Shrimp  Carriers,84
organization,Unknown,12744,3
organization,Unknown,143129355,16
organization,Unknown,7775,12
organization,Unknown,1017141,3
organization,Unknown,2591586,11
organization,Unknown,185040354,42
company,Rio Isla,Faroe Islands Shrimp Shark,164
organization,Unknown,341411,192
organization,Unknown,21323516,3
Uncategorized,Unknown,âvictimâ,1
Uncategorized,Unknown,âperpetratorâ,1
organization,Unknown,8561,1
person,Country_271835,William Bradley,7
person,Country_271835,Joseph Griffin,2
Uncategorized,Unknown,âŠâ,3
organization,Unknown,853949688,1
organization,Unknown,650512,3
organization,Unknown,8,1
organization,Unknown,128692,13
organization,Unknown,172711,1
person,Country_789455,Jacob Caldwell,15
organization,Unknown,14253815,2
location,Unknown,4369922c-ce1d-40ff-904c-1f6a3000bf6b,1
company,Country_271835,Saltwater Solitude GmbH & Co. KG,5
Uncategorized,Unknown,PRK,5
Uncategorized,Unknown,âVikingâ,4
organization,Unknown,506,1
organization,Unknown,4937447,3
Uncategorized,Unknown,âregularâ,1
organization,Unknown,2079436,2
person,Osterivaria,Ann Daniels,2
person,Osterivaria,Stephanie Mccormick MD,2
person,Country_271835,Lisa Clay,2
organization,Unknown,589,7
person,Country_712875,Elizabeth Welch,7
location,Unknown,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,2
person,Country_271835,Eugene Ochoa,1
organization,Unknown,967900443,14
person,Country_271835,Lisa Jimenez,2
organization,Unknown,1,13
location,Unknown,445a6124-4650-4e5a-83bb-a0e0b4040ee9,1
person,Country_271835,Martha Robbins,2
person,Country_271835,Don Hopkins,2
person,Country_271835,Joseph Gray,2
organization,Unknown,4,31
organization,Unknown,4975,8
organization,Unknown,7282284,3
organization,Unknown,0,13
person,Country_271835,Sean Vasquez,3
organization,Unknown,196159,23
organization,Unknown,755,11
organization,Unknown,860067396,2
organization,Unknown,664738735,13
organization,Unknown,290834957,34
person,Country_271835,Timothy Reeves,7
organization,Unknown,457009514,5
organization,Unknown,6043477,4
organization,Unknown,526269,13
person,Oceanus,Jason Cameron,6
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0,29
organization,Unknown,7,7
organization,Unknown,35,10
political_organization,Unknown,6406040,23
person,Country_271835,Jamie Knox,2
person,Country_271835,Kristin Graham,1
organization,Unknown,99575926,4
political_organization,Unknown,72371354,2
organization,Unknown,55,7
political_organization,Unknown,766649,12
organization,Unknown,955425,2
organization,Unknown,132,8
organization,Unknown,8701038,3
organization,Unknown,9067,26
organization,Unknown,750975,29
organization,Unknown,3404599,15
political_organization,Unknown,85117949,13
organization,Unknown,3506021,54
political_organization,Unknown,348079,2
political_organization,Unknown,78,1
organization,Unknown,95,27
Uncategorized,Unknown,â8â,3
Uncategorized,Unknown,ârefer,3
Uncategorized,Unknown,â10â,3
person,Country_271835,Alyssa Huffman,3
organization,Unknown,245,6
organization,Unknown,300668979,10
Uncategorized,Unknown,âNoticesââ,3
organization,Unknown,651,3
political_organization,Unknown,7845,5
organization,Unknown,265700083,2
organization,Unknown,47679,48
location,Unknown,d0123474-8425-4ab0-90d5-175920158638,18
organization,Unknown,425887173,11
organization,Unknown,86597,7
location,Unknown,405ab2a5-68f0-4304-ab94-24c7995a248e,3
political_organization,Unknown,44842,6
location,Unknown,e2b334d9-4d51-40b2-a7b1-441b88400b75,4
political_organization,Unknown,68,2
organization,Unknown,610,2
organization,Unknown,4063,1
organization,Unknown,740523,1
vessel,Unknown,Marine,9
Uncategorized,Unknown,255â273,4
location,Unknown,91dcf36d-dba8-41e8-a4cc-912981a27296,4
organization,Unknown,69150209,20
organization,Unknown,2,8
organization,Unknown,72,2
organization,Unknown,35881,2
location,Unknown,06430a2c-805a-4a76-bbda-2a24c0c860d7,1
person,Nalakond,Derek Burke,40
political_organization,Unknown,490653,3
political_organization,Unknown,888,2
organization,Unknown,775298545,3
organization,Unknown,26676370,2
company,Country_271835,Viento Azul Harbor LLC Investment,3
vessel,Unknown,Viking fishing,2
organization,Unknown,44956,5
political_organization,Unknown,3,3
organization,Unknown,5,5
