type,country,id
company,Nalakond,Spanish Shrimp  Carriers
organization,Unknown,185040354
organization,Unknown,4
organization,Unknown,860067396
organization,Unknown,664738735
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0
organization,Unknown,7
organization,Unknown,7
organization,Unknown,35
political_organization,Unknown,6406040
person,Country_271835,Jamie Knox
organization,Unknown,3506021
political_organization,Unknown,348079
political_organization,Unknown,78
organization,Unknown,300668979
organization,Unknown,2
organization,Unknown,5
organization,Unknown,7298083
organization,Unknown,9
organization,Unknown,8698
person,Country_271835,Claire Russell
organization,Unknown,964
organization,Unknown,93873119
person,Country_271835,Jeremy Cordova
location,Unknown,602ea158-0519-47fc-badc-787721580418
location,Unknown,f20779bf-63b5-4ea4-bb5f-944bb9449bce
organization,Unknown,349
organization,Unknown,84616
location,Unknown,ee05a28e-82ba-4f1d-a60f-68797a422ada
organization,Unknown,83
Uncategorized,Unknown,âunregulatedâ
organization,Unknown,2989
location,Unknown,df42b319-be6a-4a2e-b11d-c4da7ecfc01c
organization,Unknown,185106
organization,Unknown,26
organization,Unknown,860600018
organization,Unknown,435054320
vessel,Unknown,Cutter
Uncategorized,Unknown,Sept
person,Nalakond,John Gonzalez
organization,Unknown,9203
organization,Unknown,3878194
person,Country_271835,Amy Kent
Uncategorized,Unknown,Conventionâ
vessel,Unknown,water fishing
organization,Unknown,760079
organization,Unknown,3009706
location,Unknown,0f5fd4f9-1683-464e-9459-a4488de5064b
organization,Unknown,449308
organization,Unknown,200640636
person,Country_271835,Debbie Daniel
company,Country_628643,png xi  Line
organization,Unknown,7361
organization,Unknown,5848
location,Unknown,d5b94ebc-e03a-438e-872b-a15db349a748
person,Country_271835,Ashley Wiggins
organization,Unknown,737205
person,Country_271835,Clayton Rodgers
person,Country_271835,Randy Collins
person,Country_271835,Brandon Berger
organization,Unknown,4783
organization,Unknown,47924922
political_organization,Unknown,12845006
organization,Unknown,9488645
person,Merigrad,Lauren Moore
Uncategorized,Unknown,âlocalâ
Uncategorized,Unknown,Leominster Provincetownâ
location,Unknown,371bf15a-3000-499a-88e4-cc096b028ec7
political_organization,Unknown,913428
person,Country_271835,Jason Davis
person,Country_271835,Kyle Stanton
company,Vesperlandia,Mar del Oeste Pic
organization,Unknown,8327
organization,Unknown,40213337
vessel,Unknown,cutters
vessel,Unknown,Coast
event,Unknown,Today
organization,Unknown,4146760
organization,Unknown,9786
person,Country_271835,Stephanie Garner
person,Country_271835,Jeremy Norris
vessel,Unknown,Ocean Tuna
organization,Unknown,262157542
organization,Unknown,46194
organization,Unknown,9204971
organization,Unknown,2230601
vessel,Unknown,Explorer
organization,Unknown,36295
person,Country_271835,Jeremiah Delacruz
event,Unknown,âsquids
event,Unknown,âclams
event,Unknown,Octopus
organization,Unknown,60253
organization,Unknown,13015105
event,Unknown,âSocioeconomic
person,Country_271835,Jeffrey Yates
organization,Unknown,1465792
organization,Unknown,657
organization,Unknown,760402
person,Country_271835,Tyler Brown
company,Country_271835,Cape of Good Hope  Oyj
organization,Unknown,874124852
location,Unknown,705283b0-cdb7-4f0a-8481-b3fea243a8e5
vessel,Unknown,Boat
person,Country_271835,Teresa Rivera
vessel,Unknown,salmon
person,Country_271835,George Ramirez
organization,Unknown,7320771
organization,Unknown,94760735
Uncategorized,Unknown,Aleut Community St
Uncategorized,Unknown,KanuuxÌ
location,Unknown,e8036bce-0679-41d2-aa7b-d444163ae65a
Uncategorized,Unknown,âSewardâs Follyâ
Uncategorized,Unknown,âAlaÄum KanuuxÌ
organization,Unknown,42603647
organization,Unknown,8544797
organization,Unknown,5070599
organization,Unknown,8966
organization,Unknown,39
location,Unknown,e53552bc-174b-4799-b96b-c23cfa0731cb
organization,Unknown,9166
organization,Unknown,48
location,Unknown,c14a3dc1-59d0-4b92-b9f3-331e51912787
organization,Unknown,505943
organization,Unknown,79538
person,Country_271835,Kevin Norton
Uncategorized,Unknown,âgreenâ
organization,Unknown,36
person,Country_271835,Amy Wise
location,Unknown,52093e45-b873-4300-9612-8dfc291b1339
organization,Unknown,528
person,Country_271835,Christopher Miller
Uncategorized,Unknown,ipoa-iuu
location,Unknown,2ceda972-c633-4a88-bbe8-a4fe48cb5555
Uncategorized,Unknown,Torremolinos
Uncategorized,Unknown,International-Convention
Uncategorized,Unknown,imo
vessel,Unknown,Spy
person,Country_542476,Thomas Morales
person,Country_271835,Morgan Black
person,Oceanus,Kristine Vaughn
organization,Unknown,1301719
person,Country_271835,Carlos White
person,Country_271835,Robert Adams
person,Country_271835,Brandon Jackson
Uncategorized,Unknown,ââ
event,Unknown,âHe
organization,Unknown,314
organization,Unknown,979893388
person,Country_271835,Tammy Ryan
