Community,id,type,country,In-Degree,Out-Degree,Avg-Weight,Node_Count,Edge_Count,ownership,partnership,family_relationship,membership,Connected_Node_Type_company,Connected_Node_Type_organization,Connected_Node_Type_Uncategorized,Connected_Node_Type_person,Connected_Node_Type_location,Connected_Node_Type_political_organization,Connected_Node_Type_vessel,Connected_Node_Type_movement,Connected_Node_Type_event,Suspect
0,Spanish Shrimp  Carriers,company,Nalakond,35,61,0.8728520586458334,85,96,14,19,22,41,6,51,21,7,8,1,1,0,1,4
0,27641046,organization,Unknown,0,2,0.83076909,3,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0
0,Edward Ferry SE Transportation,Uncategorized,Unknown,1,3,0.8618133400000001,5,4,1,0,1,2,0,0,0,3,1,0,0,0,0,0
0,âWe fins,Uncategorized,Unknown,3,0,0.8987307000000001,4,3,0,2,0,1,0,1,0,1,1,0,0,0,0,0
0,7320771,organization,Unknown,0,3,0.8302166233333333,4,3,3,0,0,0,1,0,2,0,0,0,0,0,0,0
0,âSocioeconomic,event,Unknown,0,3,0.8732589733333334,4,3,0,2,0,1,0,1,0,0,0,0,0,0,2,0
0,60253,organization,Unknown,0,3,0.9087795333333334,4,3,0,0,0,3,0,0,1,0,0,0,0,0,2,0
0,Octopus,event,Unknown,0,3,0.9334253,4,3,3,0,0,0,0,0,0,1,0,0,0,0,2,0
0,âclams,event,Unknown,5,2,0.9215346271428572,8,7,4,1,0,2,0,2,1,1,0,0,0,0,3,0
0,âsquids,event,Unknown,4,3,0.9122562371428572,8,7,4,0,0,3,0,2,1,1,0,0,0,0,3,0
0,Jeremiah Delacruz,person,Country_271835,1,2,0.9135028133333334,4,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0
0,36295,organization,Unknown,0,2,0.83960725,3,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0
0,9786,organization,Unknown,2,17,0.8751052494736842,20,19,3,11,5,0,1,9,5,2,2,0,0,0,0,0
0,e167b40a-96f4-40e0-873b-78950e4434f4,location,Unknown,0,4,0.874674865,5,4,0,0,0,4,0,0,1,2,0,1,0,0,0,0
0,ede1806c-b3d1-47f5-ba49-d948d6ec385a,location,Unknown,1,1,0.83881145,3,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0
0,47562016,organization,Unknown,0,11,0.8914537899999999,12,11,5,6,0,0,0,3,5,3,0,0,0,0,0,0
0,Marcus English,person,Oceanus,1,0,0.898044,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,913428,political_organization,Unknown,1,2,0.8561329866666667,4,3,0,2,0,1,2,0,0,1,0,0,0,0,0,0
0,371bf15a-3000-499a-88e4-cc096b028ec7,location,Unknown,0,1,0.8243859,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,Nicole Marshall,person,Country_271835,2,0,0.84581045,3,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0
0,Gregory Bowers,person,Country_271835,2,0,0.833256675,3,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0
0,Debbie Daniel,person,Country_271835,0,1,0.89456236,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,Amy Kent,person,Country_271835,2,0,0.943100535,3,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0
0,3878194,organization,Unknown,1,4,0.874664024,6,5,0,0,5,0,1,1,1,2,0,0,0,0,0,0
0,df42b319-be6a-4a2e-b11d-c4da7ecfc01c,location,Unknown,2,0,0.8200331999999999,3,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0
0,0f5fd4f9-1683-464e-9459-a4488de5064b,location,Unknown,4,3,0.8489982500000001,8,7,1,1,0,5,0,2,2,0,2,0,1,0,0,0
0,1415,organization,Unknown,1,0,0.87695706,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,88149,political_organization,Unknown,2,3,0.873227958,6,5,0,1,0,4,0,2,1,0,2,0,0,0,0,0
0,2ceda972-c633-4a88-bbe8-a4fe48cb5555,location,Unknown,0,5,0.8600716539999999,6,5,0,0,5,0,1,2,2,0,0,0,0,0,0,0
0,25125567,organization,Unknown,0,2,0.865392215,3,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
0,1da2bc5a-e590-41c9-9982-2ade48dfc426,location,Unknown,1,1,0.857200575,3,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0
0,intrafish,Uncategorized,Unknown,1,0,0.9091044,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,âUS,Uncategorized,Unknown,0,3,0.9150491333333334,4,3,0,0,0,3,0,1,2,0,0,0,0,0,0,0
0,3 Ltd. Liability Co,Uncategorized,Unknown,1,1,0.87961578,3,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0
0,92616021,political_organization,Unknown,0,2,0.898469935,3,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0
0,455617,organization,Unknown,0,2,0.8693294300000001,3,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0
0,Hannah Little,person,Country_271835,4,0,0.8779354500000001,5,4,3,0,1,0,0,0,1,1,0,1,0,0,1,0
0,Fridayâs,event,Unknown,3,1,0.87634849,5,4,4,0,0,0,0,0,1,2,0,1,0,0,0,0
0,900338,organization,Unknown,0,1,0.8821811,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,Daniel Pruitt,person,Rio Isla,1,7,0.85352759125,8,8,3,1,1,3,0,4,2,1,0,0,0,0,1,0
0,552027385,organization,Unknown,1,2,0.8367243000000001,4,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0
0,245658,organization,Unknown,0,1,0.836853,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,72875,organization,Unknown,0,2,0.8583662999999999,3,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0
0,ecf18ac9-a773-43a0-98c8-cdd264565b2f,location,Unknown,0,2,0.883283475,3,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0
0,Tara Hanson,person,Country_271835,0,3,0.8552681999999999,4,3,2,0,1,0,1,0,0,1,1,0,0,0,0,0
0,461553,organization,Unknown,1,1,0.85996217,3,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0
0,67909,organization,Unknown,0,2,0.8362962199999999,3,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0
0,6038,organization,Unknown,0,2,0.9108012,3,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0
0,46aadaa6-fb30-4474-a060-3adb689f4189,location,Unknown,1,0,0.8771941,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,54,political_organization,Unknown,1,0,0.9746377,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,Tuna Vietnam,Uncategorized,Unknown,1,1,0.8942922950000001,3,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0
0,reefers,vessel,Unknown,0,2,0.937225345,3,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0
0,Kariba Dam  N.V. Brothers,Uncategorized,Unknown,3,1,0.87012746,5,4,3,1,0,0,0,0,3,1,0,0,0,0,0,0
0,Pitâ,Uncategorized,Unknown,1,1,0.82514456,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0
0,âCinder,Uncategorized,Unknown,1,1,0.861171885,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0
0,Anita Tate,person,Country_709784,0,8,0.85858160625,9,8,3,0,2,3,0,3,3,2,0,0,0,0,0,0
0,492238508,organization,Unknown,2,1,0.8440422133333333,4,3,0,0,0,3,0,2,0,1,0,0,0,0,0,0
0,61057213,organization,Unknown,0,2,0.86906785,3,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0
0,Ronnie Burns,person,Country_271835,4,0,0.934706505,5,4,1,0,3,0,0,2,1,1,0,0,0,0,0,0
0,Veronica Payne,person,Country_271835,3,1,0.8915993425,5,4,3,0,1,0,0,2,1,1,0,0,0,0,0,0
0,Getis-Ord,Uncategorized,Unknown,0,2,0.84299415,3,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0
0,Kerala Market Corp Consulting,Uncategorized,Unknown,16,1,0.8267822688235295,16,17,2,15,0,0,2,7,2,3,1,0,2,0,0,0
0,allAfrica,Uncategorized,Unknown,1,0,0.85655963,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,Stacey Ortega,person,Country_271835,7,0,0.9018130771428572,8,7,0,7,0,0,1,4,1,0,1,0,0,0,0,0
