company_id,BOCnt,CCCnt,tot_revenue,avg_revenue
1 AS Marine sanctuary,1,1,0.0,0.0
1 Ltd. Liability Co,0,1,7786.6728,7786.6728
1 Ltd. Liability Co Cargo,1,0,0.0,0.0
1 S.A. de C.V.,0,1,0.0,0.0
1 Swordfish Ltd Solutions,0,1,6756.6728,6756.6728
1 and Sagl Forwading,1,1,18529.114,18529.114
2 Incorporated and Son's,1,1,0.0,0.0
2 Limited Liability Company,2,2,0.0,0.0
2 Ltd. Liability Co,1,1,0.0,0.0
2 S.A. de C.V.,0,1,12566.6728,12566.6728
3 Coast Sp Marine,0,1,0.0,0.0
3 Limited Liability Company,0,1,26866.6728,26866.6728
3 Ltd. Liability Co Transit,0,1,112666.6728,112666.6728
3 S.p.A. and Son's,2,1,8913.1262,4456.5631
3 SE & Son's,0,1,26966.6728,26966.6728
4 Limited Liability Company Seaport,4,1,33159.786,8289.9465
4 N.V. Marine biology,2,1,13358.9185,6679.45925
4 S.A. de C.V.,0,1,0.0,0.0
5 Flounder S.p.A. Transport,0,1,19125.969,19125.969
5 Limited Liability Company,2,1,133680.9321,66840.46605
5 Oyj Marine life,0,1,53566.6728,53566.6728
6 Barge Oyj Cargo,4,1,0.0,0.0
6 GmbH & Co. KG,0,1,18866.6728,18866.6728
6 LC & Son's,1,1,5372.4219,5372.4219
7 GmbH & Co. KG,4,1,16211.6849,4052.921225
7 Ltd. Liability Co Express,4,1,7152.3444,1788.0861
7 Ltd. Liability Co Shipping,0,1,0.0,0.0
7 S.A. de C.V. Shipping,0,1,0.0,0.0
8 GmbH & Co. KG Tsunami,0,1,10936.6728,10936.6728
8 GmbH & Co. KG Worldwide,0,1,0.0,0.0
8 Ltd. Liability Co,2,1,6401.6728,3200.8364
8 S.A. de C.V.,0,1,7985.6174,7985.6174
8 SE Marine life,23,1,22166.6728,963.7683826086956
9 Charter Boat  Plc Overseas,0,1,36658.0122,36658.0122
9 GmbH & Co. KG Solutions,2,1,15307.4058,7653.7029
9 Shark S.A. de C.V. Brothers,2,1,89559.5005,44779.75025
9 Swordfish Ltd Carriers,2,1,0.0,0.0
AB Limited Liability Company,2,1,8674.2899,4337.14495
AS Limited Liability Company,0,1,8956.6728,8956.6728
"Abbott, Carrillo and Frederick",1,0,0.0,0.0
"Abbott, Lewis and Davis",1,0,0.0,0.0
Abbott-Norman,1,0,0.0,0.0
Abbott-Page,0,1,0.0,0.0
Acevedo Group,0,2,0.0,0.0
Acevedo Ltd,1,0,0.0,0.0
"Acevedo, Dickson and Gonzalez",1,0,0.0,0.0
"Acevedo, Fowler and Duncan",1,0,0.0,0.0
Acevedo-Griffin,1,0,0.0,0.0
Acevedo-Sanchez,0,1,0.0,0.0
Acosta LLC,0,1,0.0,0.0
Acosta Ltd,1,0,4906.0501,4906.0501
"Acosta, Gibson and Jones",1,0,0.0,0.0
"Acosta, Johnson and Ball",1,0,0.0,0.0
"Acosta, Sanchez and Klein",1,0,0.0,0.0
Acosta-Glass,0,1,0.0,0.0
Acosta-Saunders,1,0,0.0,0.0
Adair - SE Transport,0,1,4810.3628,4810.3628
Adair Corporation Marine biology,2,1,8432.6478,4216.3239
Adair Ltd. Liability Co,0,1,36766.6728,36766.6728
Adair S.A. de C.V.,24,1,33308.6865,1387.8619375
Adams Group,1,0,9056.2418,9056.2418
Adams LLC,0,2,0.0,0.0
Adams Ltd,0,1,0.0,0.0
Adams PLC,1,0,0.0,0.0
Adams and Sons,1,1,0.0,0.0
"Adams, Brown and Brown",1,0,0.0,0.0
"Adams, Clark and Martinez",1,0,0.0,0.0
"Adams, Johnson and Calderon",1,0,0.0,0.0
"Adams, Mccall and Smith",1,0,0.0,0.0
"Adams, Munoz and Carson",1,0,0.0,0.0
"Adams, Nunez and Bauer",0,1,0.0,0.0
"Adams, Ramos and Patel",1,0,0.0,0.0
"Adams, Suarez and Bailey",1,0,0.0,0.0
"Adams, Taylor and Brown",1,0,0.0,0.0
Adams-Decker,0,1,0.0,0.0
Adams-Duran,1,0,0.0,0.0
Adams-Gilmore,1,0,0.0,0.0
Adams-Howell,1,0,0.0,0.0
Adams-Knight,1,0,0.0,0.0
Adams-Pope,1,0,0.0,0.0
Adams-Reyes,0,1,0.0,0.0
Adams-Russell,1,0,0.0,0.0
Adams-Schmidt,1,0,0.0,0.0
Adams-Stanley,0,1,0.0,0.0
Adams-Stone,0,1,0.0,0.0
Adams-Wilson,2,0,0.0,0.0
"Adkins, Long and Elliott",1,0,0.0,0.0
Adkins-Robinson,0,1,0.0,0.0
Adkins-Robles,0,1,0.0,0.0
Adkins-Shepherd,1,0,0.0,0.0
Adkins-Simmons,1,0,0.0,0.0
Adriatic  Nautical CJSC Holdings,0,1,14181.4208,14181.4208
Adriatic  Seabass LC Transportation,1,1,17566.6728,17566.6728
Adriatic Catch Ges.m.b.H. Forwading,1,1,11277.1793,11277.1793
Adriatic Catch Ges.m.b.H. Marine biology,2,1,0.0,0.0
Adriatic Catch Ltd Transport,4,1,0.0,0.0
Adriatic Catch Ltd. Liability Co,0,1,20066.6728,20066.6728
Adriatic Catch S.A. de C.V.,5,1,8869.44,1773.888
Adriatic Catch SRL Line,0,1,0.0,0.0
Adriatic Catch SRL Seal,1,1,54603.9287,54603.9287
Adriatic Mackerel Ges.m.b.H. Family,0,1,0.0,0.0
Adriatic Mackerel Ges.m.b.H. Worldwide,4,1,74266.1809,18566.545225
Adriatic Mackerel N.V. Transport,0,1,113379.1323,113379.1323
Adriatic Squid AG Express,1,1,0.0,0.0
Adriatic Squid AS Holdings,16,1,16451.9034,1028.2439625
Adriatic Squid Corporation Buoy,0,1,0.0,0.0
Adriatic Squid Limited Liability Company Freight,0,1,24066.6728,24066.6728
Adriatic Squid Ltd. Liability Co,3,2,36747.4497,12249.1499
Adriatic Tuna GmbH & Co. KG,0,1,29366.6728,29366.6728
Adriatic Tuna NV Cod,0,1,0.0,0.0
Adriatic Tuna Pic Express,0,1,0.0,0.0
Adriatic Tuna Seabass BV Transit,3,1,91222.0779,30407.3593
Adriatic Tuna Shipyard GmbH United,1,1,221337.9812,221337.9812
Agua Express Marine mist,0,1,14466.6728,14466.6728
Agua Limited Liability Company Services,1,1,10254.1095,10254.1095
Agua Ltd. Corporation Carriers,0,1,7973.9168,7973.9168
Agua Ltd. Liability Co,11,2,17133.131500000003,1557.5574090909097
Agua N.V. Marine life,15,1,102092.7612,6806.18408
Aguamarina Beach AB Industrial,0,1,170666.6728,170666.6728
Aguamarina Jetty GmbH & Co. KG Logistics,0,1,0.0,0.0
Aguamarina Limited Liability Company,0,1,55045.4068,55045.4068
Aguamarina S.A. de C.V.,22,1,84857.8698,3857.1759
Aguilar Group,2,0,0.0,0.0
Aguilar Inc,1,0,0.0,0.0
Aguilar LLC,1,0,108190.6244,108190.6244
Aguilar Ltd,0,1,0.0,0.0
Aguilar and Sons,0,1,0.0,0.0
"Aguilar, Brown and Haynes",1,0,0.0,0.0
"Aguilar, Gray and Murray",1,0,0.0,0.0
"Aguilar, Jones and Sanchez",0,1,0.0,0.0
"Aguilar, Powell and Sandoval",1,0,0.0,0.0
Aguilar-Blake,1,0,0.0,0.0
Aguilar-Hoover,1,0,0.0,0.0
Aguilar-Olson,1,0,0.0,0.0
