company_id,BOCnt,CCCnt,tot_revenue,avg_revenue,size
1 AS Marine sanctuary,1,1,0.0,0.0,2
1 Ltd. Liability Co,0,1,7786.6728,7786.6728,1
1 Ltd. Liability Co Cargo,1,0,0.0,0.0,1
1 S.A. de C.V.,0,1,0.0,0.0,1
1 Swordfish Ltd Solutions,0,1,6756.6728,6756.6728,1
1 and Sagl Forwading,1,1,18529.114,18529.114,2
2 Incorporated and Son's,1,1,0.0,0.0,2
2 Limited Liability Company,2,2,0.0,0.0,4
2 Ltd. Liability Co,1,1,0.0,0.0,2
2 S.A. de C.V.,0,1,12566.6728,12566.6728,1
3 Coast Sp Marine,0,1,0.0,0.0,1
3 Limited Liability Company,0,1,26866.6728,26866.6728,1
3 Ltd. Liability Co Transit,0,1,112666.6728,112666.6728,1
3 S.p.A. and Son's,2,1,8913.1262,4456.5631,3
3 SE & Son's,0,1,26966.6728,26966.6728,1
4 Limited Liability Company Seaport,4,1,33159.786,8289.9465,5
4 N.V. Marine biology,2,1,13358.9185,6679.45925,3
4 S.A. de C.V.,0,1,0.0,0.0,1
5 Flounder S.p.A. Transport,0,1,19125.969,19125.969,1
5 Limited Liability Company,2,1,133680.9321,66840.46605,3
5 Oyj Marine life,0,1,53566.6728,53566.6728,1
6 Barge Oyj Cargo,4,1,0.0,0.0,5
6 GmbH & Co. KG,0,1,18866.6728,18866.6728,1
6 LC & Son's,1,1,5372.4219,5372.4219,2
7 GmbH & Co. KG,4,1,16211.6849,4052.921225,5
7 Ltd. Liability Co Express,4,1,7152.3444,1788.0861,5
7 Ltd. Liability Co Shipping,0,1,0.0,0.0,1
7 S.A. de C.V. Shipping,0,1,0.0,0.0,1
8 GmbH & Co. KG Tsunami,0,1,10936.6728,10936.6728,1
8 GmbH & Co. KG Worldwide,0,1,0.0,0.0,1
8 Ltd. Liability Co,2,1,6401.6728,3200.8364,3
8 S.A. de C.V.,0,1,7985.6174,7985.6174,1
8 SE Marine life,23,1,22166.6728,963.7683826086956,24
9 Charter Boat  Plc Overseas,0,1,36658.0122,36658.0122,1
9 GmbH & Co. KG Solutions,2,1,15307.4058,7653.7029,3
9 Shark S.A. de C.V. Brothers,2,1,89559.5005,44779.75025,3
9 Swordfish Ltd Carriers,2,1,0.0,0.0,3
AB Limited Liability Company,2,1,8674.2899,4337.14495,3
AS Limited Liability Company,0,1,8956.6728,8956.6728,1
"Abbott, Carrillo and Frederick",1,0,0.0,0.0,1
"Abbott, Lewis and Davis",1,0,0.0,0.0,1
Abbott-Norman,1,0,0.0,0.0,1
Abbott-Page,0,1,0.0,0.0,1
Acevedo Group,0,2,0.0,0.0,2
Acevedo Ltd,1,0,0.0,0.0,1
"Acevedo, Dickson and Gonzalez",1,0,0.0,0.0,1
"Acevedo, Fowler and Duncan",1,0,0.0,0.0,1
Acevedo-Griffin,1,0,0.0,0.0,1
Acevedo-Sanchez,0,1,0.0,0.0,1
Acosta LLC,0,1,0.0,0.0,1
Acosta Ltd,1,0,4906.0501,4906.0501,1
"Acosta, Gibson and Jones",1,0,0.0,0.0,1
"Acosta, Johnson and Ball",1,0,0.0,0.0,1
"Acosta, Sanchez and Klein",1,0,0.0,0.0,1
Acosta-Glass,0,1,0.0,0.0,1
Acosta-Saunders,1,0,0.0,0.0,1
Adair - SE Transport,0,1,4810.3628,4810.3628,1
Adair Corporation Marine biology,2,1,8432.6478,4216.3239,3
Adair Ltd. Liability Co,0,1,36766.6728,36766.6728,1
Adair S.A. de C.V.,24,1,33308.6865,1387.8619375,25
Adams Group,1,0,9056.2418,9056.2418,1
Adams LLC,0,2,0.0,0.0,2
Adams Ltd,0,1,0.0,0.0,1
Adams PLC,1,0,0.0,0.0,1
Adams and Sons,1,1,0.0,0.0,2
"Adams, Brown and Brown",1,0,0.0,0.0,1
"Adams, Clark and Martinez",1,0,0.0,0.0,1
"Adams, Johnson and Calderon",1,0,0.0,0.0,1
