country,total_revenue,average_revenue
Afarivaria,83366.6728,83366.6728
Alverossia,1872270.882,93613.54412
Alverovia,14201069.67,14201069.67
Andenovia,1052171.681,210434.3363
Anderia del Mar,0,0
Ariuzima,563462.6293,43343.27918
Arreciviento,3458888.301,70589.55716
Arvaros,228063.7533,32580.53619
Arvekalia,0,0
Azurionix,8290377.311,921153.0346
Baziuzim,55124.4293,27562.21465
Brindisola,1784717.715,50991.93471
Brindivaria,2163680.798,83218.49224
Calabrand,0,0
Chrysazul,415221.0016,415221.0016
Coral Solis,3530168.675,130746.988
Coralada,2717809.77,97064.63462
Coraland,0,0
Coralmarica,48046530.6,292966.65
Faraluna,2122330.537,37898.7596
Galduzim,13487350.43,1226122.767
Gavanovia,13079117.06,278279.0863
Helixia,1580227.172,158022.7172
Helvoris,0,0
Icarnia,1726237.709,82201.79564
Imazam,120980.3752,120980.3752
Isla Solmar,0,0
Islavaragon,0,0
Islavaria,0,0
Isliandor,37106695.35,177543.9969
Ivarisia,0,0
Jiraputra,1004682.443,91334.76757
Kethanor,0,0
Kethilim,0,0
Khamposa,0,0
Khamseena,0,0
Kilivaria,0,0
Kondanovia,39015288.43,375147.0041
Kondarica,62364.8819,62364.8819
Kondarivakia,19666.6728,19666.6728
Korvelonia,1473881.514,77572.71125
Kuzalanda,0,0
Kuzima,0,0
Lumakari,22066.6728,22066.6728
Lumindoria,8194916.941,227636.5817
Luminkind,162510.0368,16251.00368
Mango del Oro,501384.3545,71626.33636
Marebak,44953139.26,60583.74563
Marifada,1749814.331,79537.01505
Mawalara,87987.3548,43993.6774
Mawandia,683131.0184,136626.2037
Mawazam,3068939.125,40380.77796
Merigrad,4363489.874,124671.1393
Morolaria,11040.9288,11040.9288
Myriadonia,0,0
Nalakimani,0,0
Nalakond,10572772.2,59733.17628
Nalaloria,267721.6154,22310.13462
Naraliket,0,0
Novarctica,8695.9224,8695.9224
Novarcticaa,182673.6693,45668.41733
Nyxonix,0,0
Oceanterra,36994.8473,18497.42365
Oceanus,334265742.1,155980.2809
Orvietola,0,0
Osterivaria,24203341.06,2200303.733
Osterivaro,274733.2409,54946.64818
Playa Solis,2078383.28,129898.955
Polarinda,0,0
Polarisdom,69618.4387,69618.4387
Portovia,20328.4179,20328.4179
Puerto Sol,27274115.92,160435.976
Puerto del Mar,4773553.95,64507.48582
Quirinelle,0,0
Quornova,74566.2138,12427.7023
Rio Isla,230019500.2,2110270.644
Rio Solovia,5758.1753,1919.391767
Riodelsol,92872840.58,1629348.08
Rivenisla,6966.6728,6966.6728
Rosvandor,4137237.527,1379079.176
Sirenareef,0,0
Sol y Oceana,5848158.765,63566.9431
Solovarossa,1767067.862,57002.18909
Solterrix,0,0
Syrithania,0,0
Talandria,3280759.258,126183.0484
Thessalandia,3916709.437,91086.26597
Utoparadia,592244.1828,53840.38025
Utoporiana,208845205,1631603.164
Uzifrica,130211.6728,26042.33456
Uziland,109016.2414,36338.74713
Valtalmo,0,0
Vesperanda,3729108.331,93227.70829
Vesperlandia,0,0
Vientoro,13297.7793,6648.88965
Wysterion,11986.6728,11986.6728
Yggdrasonia,220130.0328,36688.3388
ZH,9900585993,441222.2467
Zambarka,0,0
Zawalinda,4647670.222,63666.71537
