country,AB,AG,A/S,BV,CJSC,Co,Enterprises,Ges.m.b.H,Group,Inc,Kga,Limited,N.V.,OJSC,Oyj,PLC,S.A. de C.V.,S.p.A.,SE,SRL,Sagl,Sp,Sons,ОАО,Null
Afarivaria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alverossia,1,1,0,0,0,1,0,3,0,1,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0
Alverovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Andenovia,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Anderia del Mar,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Ariuzima,0,0,1,0,0,1,0,1,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0
Arreciviento,1,1,2,3,1,5,0,2,0,1,0,11,1,1,0,4,4,2,0,3,1,1,2,0,0
Arvaros,1,0,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Arvekalia,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Azurionix,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Baziuzim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brindisola,2,0,0,0,1,7,0,3,0,3,1,8,2,0,0,1,1,0,0,1,3,0,1,0,0
Brindivaria,0,0,0,1,0,4,0,3,0,0,3,3,1,0,0,2,2,0,0,1,1,2,2,1,0
Calabrand,0,1,0,0,0,2,0,2,0,0,0,6,0,0,1,1,1,1,0,0,0,0,0,0,0
Chrysazul,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral Solis,0,1,3,0,0,6,1,2,0,1,1,4,0,1,0,2,2,0,1,0,0,1,0,1,0
Coralada,1,0,0,0,2,3,0,2,0,1,1,5,0,0,2,1,1,0,0,1,1,0,1,1,0
Coraland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Coralmarica,1,2,7,3,4,28,0,14,0,6,3,24,9,4,5,7,7,1,3,3,4,3,6,6,0
Faraluna,1,0,2,3,0,6,1,4,0,0,0,12,1,3,0,5,5,3,0,0,0,2,2,2,0
Galduzim,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
Gavanovia,2,1,2,2,2,6,0,7,0,2,2,9,1,1,0,2,2,1,0,0,1,0,3,0,0
Helixia,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,1,0,0,0,1,0,0
Helvoris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icarnia,0,0,1,2,0,3,0,1,0,2,0,2,1,0,1,0,0,0,1,0,0,1,0,2,0
