country,A/S,AB,AG,BV,CJSC,Co,Enterprises,Ges.m.b.H,Group,Inc,Kga,Limited,N.V.,OJSC,Oyj,PLC,S.A. de C.V.,S.p.A.,SE,SRL,Sagl,Sons,Sp,ОАО,missing
Afarivaria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alverossia,0,1,1,0,0,2,0,3,0,1,1,2,1,0,0,1,1,0,1,0,0,0,0,0,5
Alverovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Andenovia,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Anderia del Mar,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Ariuzima,1,0,0,0,0,1,0,1,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,3
Arreciviento,2,1,1,3,1,5,0,2,0,1,0,11,1,1,0,1,4,2,0,3,1,2,1,0,6
Arvaros,0,1,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Arvekalia,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Azurionix,0,0,0,0,0,2,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
Baziuzim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Brindisola,0,2,0,0,1,7,0,3,0,3,1,8,2,0,0,1,1,0,0,1,3,1,0,0,1
Brindivaria,0,0,0,1,0,5,0,3,0,0,3,3,1,0,0,1,2,0,0,1,1,2,2,1,0
Calabrand,0,0,1,0,0,2,0,2,0,0,0,6,0,0,1,0,1,1,0,0,0,0,0,0,3
Chrysazul,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral Solis,3,0,1,0,0,6,1,2,0,1,1,4,0,1,0,2,2,0,1,0,0,0,1,1,0
Coralada,0,1,0,0,2,3,0,2,0,1,1,5,0,0,2,1,1,0,0,1,1,1,0,1,5
