id,product_services,revenue_omu,type,country,related_to_food,related_to_seafood,company_type
1 and Sagl Forwading,Total logistics solutions,18529.114,Company,Kondanovia,0,0,Sagl
1 AS Marine sanctuary,"Scrapbook embellishment, DIY kits, beads, styrofoam, doll accessories, crafty tools, funfoam shapes, stencils, wood bits, ribbons, craft paper",,Company,Isliandor,0,0,A/S
1 Eel Corporation Transport,,19666.6728,Company,Oceanus,,,Co
1 Ltd. Corporation Transport,,5364.3171,Company,Coral Solis,,,Co
1 Ltd. Liability Co,,7786.6728,Company,Oceanus,,,Limited
1 Ltd. Liability Co Cargo,,,Company,Mawandia,,,Limited
1 S.A. de C.V.,,,Company,Oceanus,,,S.A. de C.V.
1 Swordfish Ltd Solutions,,6756.6728,Company,Oceanus,,,Limited
2 Flounder ОАО Consultants,"Sauce and condiment, drinks, canned food, frozen fish and seafood and meat, noodles, rice products, dried food, dried spices, tea leaves, beverages and mix, snacks, preserved and pickled food, and ready to eat pouches",10386.6728,Company,Oceanus,1,1,ОАО
2 Limited Liability Company,"Canning, processing and manufacturing of seafood and other aquatic products",,Company,Marebak,1,1,Limited
2 Limited Liability Company,,,Company,Marebak,,,Limited
2 S.A. de C.V.,,12566.6728,Company,Oceanus,,,S.A. de C.V.
3 Coast Sp Marine,,,Company,Puerto del Mar,,,Sp
3 Limited Liability Company,"Fibres, yarns, greige goods, apparel fabrics, garments, and home textiles to higher end and discount market segments",26866.6728,Company,Oceanus,0,0,Limited
3 Ltd. Liability Co Transit,European specialty food products,112666.6728,Company,Oceanus,1,0,Limited
3 S.p.A. and Son's,,8913.1262,Company,Marebak,,,S.p.A.
3 SE & Son's,Anodes and chemicals for the worldwide plating industry,26966.6728,Company,Oceanus,0,0,Sons
4 Limited Liability Company Seaport,Providing cold storage and freezing products services,33159.786,Company,Mawazam,0,0,Limited
4 N.V. Marine biology,,13358.9185,Company,Brindisola,,,N.V.
4 S.A. de C.V. Coral Reef,,14387.0986,Company,Coral Solis,,,S.A. de C.V.
5 Flounder S.p.A. Transport,Engineering services in the iron and steel industry and the non-ferrous metals sector,19125.969,Company,Utoparadia,0,0,S.p.A.
5 Limited Liability Company,"Specialises in the production and trade of high-performance adhesives , polymer special chemicals as well as involved in the development, production and sales of environmentally friendly combination of hot melt adhesive, 3 seconds instant glue and other agents",133680.9321,Company,Isliandor,0,0,Limited
5 Oyj Marine life,,53566.6728,Company,Oceanus,,,Oyj
6 Barge Oyj Cargo,,,Company,Oceanus,,,Oyj
6 GmbH & Co. KG,,18866.6728,Company,Oceanus,,,Ges.m.b.H
6 LC & Son's,,5372.4219,Company,Marebak,,,Sons
7 Beachcomber ОАО Carriers,,5006.6728,Company,Oceanus,,,ОАО
7 GmbH & Co. KG,"Manufacture of nonprecious and precious plated metal cutlery and flatware; the manufacture of nonpowered hand and edge tools; the manufacture of nonpowered handsaws; and the manufacture of saw blades, all types (including those for sawing machines); Metal kitchen utensils (except cutting-type) and pots and pans, such as cast iron skillets",16211.6849,Company,Marebak,0,0,Ges.m.b.H
7 Ltd. Liability Co Enterprises,,4766.6728,Company,Coralmarica,,,Limited
7 Ltd. Liability Co Express,,7152.3444,Company,Solovarossa,,,Limited
7 Ltd. Liability Co Shipping,,,Company,Oceanus,,,Limited
7 S.A. de C.V. Shipping,"Carbon steel reinforcing bar, rounds, and squares",,Company,Oceanus,0,0,S.A. de C.V.
8 GmbH & Co. KG Tsunami,,10936.6728,Company,Oceanus,,,Ges.m.b.H
8 Ltd. Liability Co,,6401.6728,Company,Oceanus,,,Limited
8 Ltd. Liability Co,,,Company,Oceanus,,,Limited
8 S.A. de C.V.,Biopharmaceuticals (recombinant antibodies and proteins),7985.6174,Company,Marebak,0,0,S.A. de C.V.
8 SE Marine life,Gloves and niche products,22166.6728,Company,Oceanus,0,0,SE
9 Charter Boat  Plc Overseas,Fish and fish products,36658.0122,Company,Marebak,1,1,PLC
9 GmbH & Co. KG Solutions,"Range of conveyors, fire valves, and other related parts and accessories",15307.4058,Company,Kondanovia,0,0,Ges.m.b.H
9 Shark S.A. de C.V. Brothers,"Pat-ang-geum (processed red bean paste), Yo-kan (red bean sweet jelly), Pat-juk (red bean sweet porridge), Pat for Bing-su (processed red bean paste for shaved ice bowls), A-dzu-ki (red bean with rice flour)",89559.5005,Company,Kondanovia,0,0,S.A. de C.V.
9 Swordfish Ltd Carriers,,,Company,Utoporiana,,,Limited
AB Limited Liability Company,,,Company,Coralmarica,,,AB
AB Limited Liability Company,,8674.2899,Company,Marebak,,,AB
Abbott and Sons,,,Beneficial Owner,ZH,,,Sons
Abbott Group,,,Beneficial Owner,ZH,,,Group
Abbott LLC,,,Company,ZH,,,Limited
Abbott LLC,,,Beneficial Owner,ZH,,,Limited
Abbott Ltd,,,Company Contacts,ZH,,,Limited
"Abbott, Barton and Lane",,,Beneficial Owner,ZH,,,NULL
