Community,Node,type,country,In-Degree,Out-Degree,Avg-Weight,Node_Count,Edge_Count,ownership,partnership,family_relationship,membership,Connected_Node_Type_company,Connected_Node_Type_organization,Connected_Node_Type_Uncategorized,Connected_Node_Type_person,Connected_Node_Type_location,Connected_Node_Type_political_organization,Connected_Node_Type_vessel,Connected_Node_Type_movement,Connected_Node_Type_event
0,f9f6fc72-83db-4c44-a818-dde6c33985f9,location,Unknown,6,0,0.8502254050000001,7,6,6,0,0,0,0,3,3,0,0,0,0,0,0
0,af9758b0-e4f9-4e08-8dd9-09abc903e4b5,location,Unknown,1,2,0.8688290333333333,4,3,0,0,0,3,0,1,1,0,1,0,0,0,0
0,Andrew Graves,person,Country_271835,0,2,0.9068733449999999,3,2,0,0,2,0,0,0,0,2,0,0,0,0,0
0,b4caf8cd-dbc7-4c99-9f2b-de407274c08b,location,Unknown,2,2,0.84232292,5,4,0,0,0,4,0,0,1,0,3,0,0,0,0
0,12744,organization,Unknown,1,3,0.9116671125,4,4,2,1,0,1,2,1,1,0,0,0,0,0,0
0,Christopher Moore,person,Country_271835,1,1,0.817986375,3,2,0,0,0,2,0,0,1,0,1,0,0,0,0
0,Wesley Vasquez,person,Country_271835,2,0,0.8618323,3,2,1,0,1,0,0,0,0,1,1,0,0,0,0
0,MBTs,vessel,Unknown,6,0,0.9562570833333334,7,6,0,6,0,0,0,1,0,2,1,0,1,0,1
0,Fish Sea,Uncategorized,Unknown,3,1,0.856264075,5,4,0,0,0,4,0,2,1,0,1,0,0,0,0
0,whales,vessel,Unknown,0,3,0.8812603666666666,4,3,0,0,0,3,0,0,1,1,0,0,1,0,0
0,Ashley Davis,person,Syrithania,1,1,0.84473362,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0
0,900338,organization,Unknown,0,1,0.8821811,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,860067396,organization,Unknown,1,1,0.8167038200000001,3,2,0,1,1,0,0,2,0,0,0,0,0,0,0
0,âtotal,event,Unknown,2,0,0.92177635,3,2,0,0,0,2,0,0,1,0,0,0,0,0,1
0,f7a4114d-d1ca-44df-a7e0-c72e440671ba,location,Unknown,9,0,0.8911030555555555,10,9,3,0,5,1,1,5,2,1,0,0,0,0,0
0,âsquids,event,Unknown,4,3,0.9122562371428572,8,7,4,0,0,3,0,2,1,1,0,0,0,0,3
0,8ce9074f-2904-41ea-896a-5d932e06f54c,location,Unknown,1,0,0.8022316,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,6758207,organization,Unknown,6,1,0.8789732499999999,8,7,0,6,0,1,0,0,0,3,1,0,2,0,1
0,314,organization,Unknown,1,0,0.8461635,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0
0,ee05a28e-82ba-4f1d-a60f-68797a422ada,location,Unknown,0,5,0.882016164,6,5,0,2,1,2,2,2,0,0,1,0,0,0,0
0,Pitâ,Uncategorized,Unknown,1,1,0.82514456,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0
0,7320771,organization,Unknown,0,3,0.8302166233333333,4,3,3,0,0,0,1,0,2,0,0,0,0,0,0
0,Anita Tate,person,Country_709784,0,8,0.85858160625,9,8,3,0,2,3,0,3,3,2,0,0,0,0,0
0,200640636,organization,Unknown,4,4,0.8907349124999999,9,8,1,7,0,0,1,4,1,1,1,0,0,0,0
0,15785056,organization,Unknown,2,0,0.8316428250000001,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0
0,Â£1,Uncategorized,Unknown,1,2,0.8964082333333333,4,3,2,0,1,0,0,0,1,2,0,0,0,0,0
0,Belgian Scallop Ltd. Liability Co,company,Country_271835,0,3,0.8866028,4,3,0,2,0,1,0,2,0,0,1,0,0,0,0
0,908724,organization,Unknown,5,0,0.861224668,6,5,2,0,0,3,0,2,0,1,2,0,0,0,0
0,3506021,organization,Unknown,34,30,0.8643783618750001,55,64,10,23,6,25,7,28,12,4,8,1,0,1,3
0,Stephanie Garner,person,Country_271835,3,0,0.9475575566666666,4,3,0,0,3,0,1,2,0,0,0,0,0,0,0
0,âpair,Uncategorized,Unknown,3,0,0.9576682200000001,4,3,0,0,0,3,1,1,1,0,0,0,0,0,0
0,Lori Cummings,person,Country_271835,3,0,0.88879193,4,3,0,1,2,0,0,0,0,2,0,0,0,0,1
0,87648111,organization,Unknown,3,1,0.861790175,5,4,1,2,0,1,0,3,1,0,0,0,0,0,0
0,Sea Products,Uncategorized,Unknown,12,7,0.7937127210526316,16,19,4,2,0,13,1,8,6,1,1,0,0,0,2
0,455617,organization,Unknown,0,2,0.8693294300000001,3,2,0,2,0,0,0,0,1,0,0,0,1,0,0
0,3 Ltd. Liability Co,Uncategorized,Unknown,1,1,0.87961578,3,2,0,0,1,1,0,0,2,0,0,0,0,0,0
0,245658,organization,Unknown,0,1,0.836853,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1853970,organization,Unknown,2,0,0.8160016649999999,3,2,2,0,0,0,0,2,0,0,0,0,0,0,0
0,df42b319-be6a-4a2e-b11d-c4da7ecfc01c,location,Unknown,2,0,0.8200331999999999,3,2,0,0,0,2,0,1,1,0,0,0,0,0,0
0,664738735,organization,Unknown,10,4,0.881092965,14,14,4,6,3,1,1,9,2,2,0,0,0,0,0
0,865275,organization,Unknown,7,10,0.8824607964705882,15,17,0,3,8,6,1,9,3,3,1,0,0,0,0
0,Kelly James,person,Uzilandor,4,2,0.9187299783333334,7,6,0,5,1,0,0,1,0,1,1,0,2,0,1
0,924,organization,Unknown,8,6,0.744832132142857,14,14,1,5,6,2,3,7,0,2,1,0,1,0,0
0,3cda9d0b-77af-4e85-bef8-e935ca55ea06,location,Unknown,0,3,0.9040890833333334,4,3,0,0,3,0,1,2,0,0,0,0,0,0,0
0,7670,organization,Unknown,6,8,0.8534696142857143,15,14,1,4,2,7,0,7,2,2,2,0,1,0,0
0,83,organization,Unknown,6,12,0.837272998888889,18,18,5,6,4,3,1,9,4,3,1,0,0,0,0
0,1da2bc5a-e590-41c9-9982-2ade48dfc426,location,Unknown,1,1,0.857200575,3,2,0,0,0,2,1,1,0,0,0,0,0,0,0
0,144431,organization,Unknown,1,1,0.862526985,3,2,0,1,1,0,0,0,0,1,1,0,0,0,0
0,348079,political_organization,Unknown,1,1,0.851973355,3,2,0,2,0,0,0,1,0,0,0,1,0,0,0
0,620019,organization,Unknown,0,3,0.8611170666666667,4,3,0,3,0,0,0,2,1,0,0,0,0,0,0
0,94760735,organization,Unknown,1,1,0.8513850000000001,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0
0,âcatch,event,Unknown,0,1,0.8978672,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,2262,organization,Unknown,32,36,0.8737936042647059,56,68,11,6,36,15,8,37,9,9,3,2,0,0,0
0,Kevin Morris,person,Country_271835,1,1,0.3189,3,2,1,0,1,0,0,0,1,1,0,0,0,0,0
0,518,organization,Unknown,5,0,0.856494734,6,5,1,1,2,1,0,3,0,1,1,0,0,0,0
0,2030â,Uncategorized,Unknown,3,0,0.9121864133333334,4,3,0,0,0,3,0,2,0,1,0,0,0,0,0
0,6064a564-2a82-44b7-8614-3a33f25e41ba,location,Unknown,1,0,0.8137396,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,410af01b-a5fb-4d6c-946d-a48fea30332b,location,Unknown,4,0,0.8356193999999999,5,4,0,0,0,4,0,0,1,0,3,0,0,0,0
0,Jeremiah Delacruz,person,Country_271835,1,2,0.9135028133333334,4,3,3,0,0,0,0,0,0,0,0,0,0,0,3
0,95c715ba-891e-4472-8e2a-4e746dcc266a,location,Unknown,8,0,0.85840223875,9,8,0,1,3,4,1,3,1,1,2,0,0,0,0
0,37e46ce7-3cfa-4805-a254-5549adf19805,location,Unknown,1,4,0.849289196,6,5,0,0,0,5,0,0,1,1,3,0,0,0,0
0,Federated,Uncategorized,Unknown,5,14,0.7441787,19,19,11,2,0,6,2,5,5,2,2,0,1,0,2
0,Mr. Mark Kline,person,Country_800653,0,2,0.82992947,3,2,0,0,2,0,1,0,0,1,0,0,0,0,0
0,45361487,organization,Unknown,1,1,0.82178235,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0
0,Plattsâ,Uncategorized,Unknown,3,1,0.863080885,5,4,0,4,0,0,0,2,1,0,0,0,1,0,0
0,Anna Johnson,person,Country_271835,0,2,0.870765955,3,2,0,1,1,0,0,1,0,0,1,0,0,0,0
0,43,organization,Unknown,2,0,0.82817655,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0
0,2ceda972-c633-4a88-bbe8-a4fe48cb5555,location,Unknown,0,5,0.8600716539999999,6,5,0,0,5,0,1,2,2,0,0,0,0,0,0
0,48605,organization,Unknown,0,5,0.89472717,6,5,0,0,1,4,0,2,0,2,0,0,0,0,1
0,reefers,vessel,Unknown,0,2,0.937225345,3,2,0,0,2,0,0,0,1,0,1,0,0,0,0
0,1415,organization,Unknown,1,0,0.87695706,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,25125567,organization,Unknown,0,2,0.865392215,3,2,2,0,0,0,0,0,0,0,2,0,0,0,0
0,416dab02-bf67-48af-a99b-c691339dc5e0,location,Unknown,0,3,0.8417557999999999,4,3,3,0,0,0,0,1,0,0,2,0,0,0,0
0,Kristen Martin,person,Country_271835,3,2,0.879524522,6,5,1,0,3,1,1,2,1,1,0,0,0,0,0
0,Patricia Hunter,person,Country_271835,3,2,0.869240302,6,5,0,5,0,0,0,2,1,0,0,0,2,0,0
0,380,organization,Unknown,4,23,0.883462625925926,28,27,4,11,1,11,2,5,7,6,3,0,4,0,0
0,Brian Williams,person,Country_271835,3,0,0.9575094933333334,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0
0,3641,organization,Unknown,3,0,0.8971351,4,3,0,0,0,3,0,0,0,1,2,0,0,0,0
0,492238508,organization,Unknown,2,1,0.8440422133333333,4,3,0,0,0,3,0,2,0,1,0,0,0,0,0
0,85052185,organization,Unknown,0,2,0.9301377,3,2,0,0,2,0,0,2,0,0,0,0,0,0,0
0,Jennifer Price,person,Country_271835,0,4,0.90644464,5,4,0,0,1,3,0,4,0,0,0,0,0,0,0
0,883320938,organization,Unknown,2,0,0.8770833,3,2,0,0,2,0,0,1,1,0,0,0,0,0,0
0,Veronica Payne,person,Country_271835,3,1,0.8915993425,5,4,3,0,1,0,0,2,1,1,0,0,0,0,0
0,54,political_organization,Unknown,1,0,0.9746377,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0
