Community,Node,type,country,In-Degree,Out-Degree,Avg-Weight,Node_Count,Edge_Count,ownership,partnership,family_relationship,membership,Connected_Node_Type_company,Connected_Node_Type_organization,Connected_Node_Type_Uncategorized,Connected_Node_Type_person,Connected_Node_Type_location,Connected_Node_Type_political_organization,Connected_Node_Type_vessel,Connected_Node_Type_movement,Connected_Node_Type_event
0,USS,vessel,Unknown,2,5,0.8400793071428572,8,7,2,1,4,0,0,1,0,2,1,0,3,0,0
0,Nicholas Hernandez,person,Country_271835,2,0,0.8245179,3,2,0,0,1,1,0,0,0,1,1,0,0,0,0
0,Sp,Uncategorized,Unknown,0,13,0.8980328323076924,14,13,2,11,0,0,2,6,1,3,0,1,0,0,0
0,2198,organization,Unknown,6,12,0.887636041111111,18,18,7,7,2,2,2,8,4,4,0,0,0,0,0
0,Laura Joseph,person,Country_144251,3,6,0.8668015611111111,8,9,0,6,3,0,0,3,3,3,0,0,0,0,0
0,601882545,organization,Unknown,0,2,0.87010075,3,2,0,0,1,1,0,1,1,0,0,0,0,0,0
0,803490608,organization,Unknown,1,2,0.8503841866666666,4,3,0,0,0,3,0,1,2,0,0,0,0,0,0
0,Baha de Coral OJSC Marine,company,Country_271835,1,3,0.855913225,5,4,0,0,0,4,1,0,3,0,0,0,0,0,0
0,dec44f58-94b0-4070-bfb3-1e13ef308ec3,location,Unknown,2,7,0.8925439899999998,10,9,1,0,7,1,1,0,0,4,2,0,2,0,0
0,6659,organization,Unknown,1,3,0.837316865,5,4,0,0,0,4,0,2,1,1,0,0,0,0,0
0,Breanna Welch DDS,person,Country_271835,1,1,0.16195,3,2,1,0,1,0,0,1,0,1,0,0,0,0,0
0,1518,organization,Unknown,0,3,0.8838302666666668,4,3,1,1,0,1,0,2,0,0,1,0,0,0,0
0,FiTI,Uncategorized,Unknown,2,1,0.8269271833333334,4,3,0,0,3,0,1,0,2,0,0,0,0,0,0
0,Ryabikova,Uncategorized,Unknown,2,0,0.896151155,3,2,2,0,0,0,0,1,0,1,0,0,0,0,0
0,Jared Martinez,person,Country_271835,1,1,0.7629,3,2,1,0,1,0,0,1,0,1,0,0,0,0,0
0,982519647,organization,Unknown,3,6,0.8690195811111111,9,9,0,6,0,3,0,5,3,1,0,0,0,0,0
0,Tyler Palmer,person,Country_271835,8,0,0.9069682299999999,9,8,1,0,7,0,0,0,0,3,2,0,3,0,0
