Node,Community
Spanish Shrimp  Carriers,0
12744,0
290834957,3
3506021,0
Conventionâ,0
2262,0
Ashley Davis,0
924,0
95,0
Ancla Azul Company Solutions,4
185106,0
Stephanie Garner,0
âpair,0
Guessl,0
Federated,0
94760735,0
83,0
imo,0
Torremolinos,0
International-Convention,0
logo,4
551,0
Dana Goodwin,0
Misty Thomas,0
Turkish Sword Buoy Incorporated Forwading,0
314,0
56,0
2983,9
FinestSea Ltd. Corporation Enterprises,0
653,0
Icelandic Shrimp Corporation Transport,6
1094345,7
7691,6
341,6
Playa de la Felicidad Oyj Cargo,0
77b46bc7-7e31-41a0-973c-e633011d21b0,3
âencounteredâ,0
f7a4114d-d1ca-44df-a7e0-c72e440671ba,0
39,3
3433,0
Kara Sullivan,0
52093e45-b873-4300-9612-8dfc291b1339,0
200640636,0
300668979,0
Stacey Ortega,0
285351,9
allAfrica,0
l y S.A. de C.V. International,0
b28d568f-09b4-41bd-b04d-4cf255f1adc6,9
341411,11
Playa del Cielo Kga,12
160,13
903311212,1
SeaSpray Wave SRL Solutions,1
png xi  Line,1
Mar del Oeste Pic,1
Ocean Fisheries Llc,1
255â273,1
858,14
185040354,3
1017141,3
2591586,1
49,9
71352,1
60806,0
4,3
7,3
35,3
Faroe Islands Shrimp Shark,14
6406040,3
Jamie Knox,3
664738735,0
5848,0
505943,1
Jerry Welch,5
23774,3
854,3
650512,11
245,4
5372,14
Tamil Nadu S.p.A.,14
02cd44a1-7945-40d9-b38f-56f70976582c,14
7950,14
44,14
41,9
98703,0
34,0
380,0
OceanicOrigin Foods Co and Son's,14
852015,14
71317,14
16,0
âThese,4
31,14
Fisherman'sFriend Charter Boat S.A. de C.V. Freight ,4
PC,3
7298083,3
FiTI,14
48,4
43685541,6
Marie Lee,4
449820,14
Victoria,10
73166320,3
262157542,3
Christopher Cunningham,13
589,14
94,14
Mr. Joseph Johnson,12
720,14
fdcbe098-dbe6-4e52-8bd7-96cf3ae30101,14
Michael Andrews,14
Sarah Garcia,14
Jessica James,14
26794528-86a5-4b5e-802f-50c3f226c66b,14
c01c6a10-60c9-4f11-9409-aa04c3963826,14
57,14
9550,14
46901627,6
Faurtil FÃ¡brica Urnas TietÃª,1
Turkish Mussels Ltd. Liability Co Marine biology,6
Leslie Williams,7
83951569,11
577a9358-a718-4d90-a90e-88f88c58160d,12
b120bc86-764c-4e2b-9f36-1587f91a20e3,14
6c7a8222-efc7-41a6-809a-043b091ae04a,7
Sarah Hays,9
8541598,9
6731,9
b8567859-bf54-49fd-8332-5775e19c65af,6
979893388,14
Lisa Jimenez,11
526269,3
99575926,3
72371354,3
Brian Nelson,11
âdevil vesselsâ,11
1,11
8c53a730-3aa1-463f-aef6-999a3cfbfb70,11
19,1
47679,13
Mar del Paraso SRL Shipping,11
683962,11
Kathleen Gates,11
82408558,9
f94bcae5-b023-48f6-a0d5-ff2f01cc00ed,11
f6cca381-c55e-44cc-b685-6c4139459b96,11
d0123474-8425-4ab0-90d5-175920158638,7
933c4581-7ecc-4377-995c-7a200fee617b,11
James Berry,11
Sonia Fisheries Pvt,14
838200939,11
860600018,11
yearbook2036,1
79538,11
Kevin Norton,11
Howard Pierce,11
Jessica Brown,11
70,11
