type,country,id
company,Nalakond,Spanish Shrimp  Carriers
organization,Unknown,185040354
company,Rio Isla,Faroe Islands Shrimp Shark
organization,Unknown,341411
organization,Unknown,853949688
organization,Unknown,650512
organization,Unknown,14253815
location,Unknown,4369922c-ce1d-40ff-904c-1f6a3000bf6b
company,Country_271835,Saltwater Solitude GmbH & Co. KG
Uncategorized,Unknown,PRK
Uncategorized,Unknown,âVikingâ
organization,Unknown,506
organization,Unknown,4937447
Uncategorized,Unknown,âregularâ
organization,Unknown,2079436
person,Country_712875,Elizabeth Welch
location,Unknown,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4
person,Country_271835,Eugene Ochoa
organization,Unknown,967900443
person,Country_271835,Lisa Jimenez
organization,Unknown,1
location,Unknown,445a6124-4650-4e5a-83bb-a0e0b4040ee9
organization,Unknown,4
organization,Unknown,4975
organization,Unknown,7282284
organization,Unknown,860067396
organization,Unknown,664738735
organization,Unknown,290834957
organization,Unknown,457009514
organization,Unknown,6043477
organization,Unknown,526269
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0
organization,Unknown,7
organization,Unknown,7
organization,Unknown,35
political_organization,Unknown,6406040
person,Country_271835,Jamie Knox
person,Country_271835,Kristin Graham
organization,Unknown,99575926
political_organization,Unknown,72371354
organization,Unknown,8701038
organization,Unknown,3506021
political_organization,Unknown,348079
political_organization,Unknown,78
organization,Unknown,95
organization,Unknown,300668979
organization,Unknown,47679
organization,Unknown,425887173
organization,Unknown,86597
location,Unknown,405ab2a5-68f0-4304-ab94-24c7995a248e
political_organization,Unknown,44842
location,Unknown,e2b334d9-4d51-40b2-a7b1-441b88400b75
political_organization,Unknown,68
organization,Unknown,610
location,Unknown,91dcf36d-dba8-41e8-a4cc-912981a27296
organization,Unknown,69150209
organization,Unknown,2
location,Unknown,06430a2c-805a-4a76-bbda-2a24c0c860d7
person,Nalakond,Derek Burke
political_organization,Unknown,490653
organization,Unknown,775298545
organization,Unknown,26676370
company,Country_271835,Viento Azul Harbor LLC Investment
vessel,Unknown,Viking fishing
organization,Unknown,5
location,Unknown,0715f2ea-3d11-4eaa-a0c4-fb3290896531
person,Oceanus,Andrea Gibson
organization,Unknown,7298083
organization,Unknown,21
organization,Unknown,6
person,Country_271835,Alexander Buchanan
person,Oceanus,Maria Mitchell
organization,Unknown,9
person,Oceanus,Amanda Mckenzie
organization,Unknown,8698
person,Country_271835,Claire Russell
organization,Unknown,964
person,Country_271835,Scott Medina
organization,Unknown,2262
organization,Unknown,93873119
person,Country_271835,Jeremy Cordova
location,Unknown,602ea158-0519-47fc-badc-787721580418
organization,Unknown,551
organization,Unknown,380
location,Unknown,f20779bf-63b5-4ea4-bb5f-944bb9449bce
organization,Unknown,349
person,Country_271835,Anne Anderson
person,Country_271835,Brian Nelson
organization,Unknown,84616
location,Unknown,ee05a28e-82ba-4f1d-a60f-68797a422ada
organization,Unknown,83
person,Vesperanda,Ms. Stephanie Rivera DDS
organization,Unknown,665
Uncategorized,Unknown,âunregulatedâ
location,Unknown,aea12579-8802-4b2d-b432-fc35fe4d10d5
person,Riodelsol,Nathaniel Jimenez
location,Unknown,3b728c8f-1eaa-4f16-8c63-d3bcffd437bb
organization,Unknown,2989
organization,Unknown,967
location,Unknown,df42b319-be6a-4a2e-b11d-c4da7ecfc01c
organization,Unknown,185106
organization,Unknown,26
organization,Unknown,860600018
organization,Unknown,435054320
vessel,Unknown,Cutter
organization,Unknown,1560
Uncategorized,Unknown,Sept
person,Nalakond,John Gonzalez
organization,Unknown,68703341
political_organization,Unknown,57
organization,Unknown,9203
organization,Unknown,3878194
person,Country_271835,Amy Kent
Uncategorized,Unknown,Conventionâ
vessel,Unknown,water fishing
organization,Unknown,760079
organization,Unknown,3009706
location,Unknown,0f5fd4f9-1683-464e-9459-a4488de5064b
person,Syrithania,Ashley Davis
organization,Unknown,924
organization,Unknown,865275
organization,Unknown,449308
location,Unknown,6064a564-2a82-44b7-8614-3a33f25e41ba
location,Unknown,3cda9d0b-77af-4e85-bef8-e935ca55ea06
organization,Unknown,494197
organization,Unknown,200640636
organization,Unknown,144431
person,Country_271835,Debbie Daniel
company,Country_628643,png xi  Line
organization,Unknown,7361
organization,Unknown,85052185
organization,Unknown,48605
location,Unknown,c73572b6-7b24-49e7-8f52-11cf8ec3c7d2
organization,Unknown,8412071
organization,Unknown,439861274
person,Country_271835,Brian Williams
organization,Unknown,908724
person,Country_271835,Jennifer Price
political_organization,Unknown,653505420
person,Country_271835,Kimberly Palmer
organization,Unknown,5848
organization,Unknown,15785056
company,Rio Isla,Playa del Cielo Kga
organization,Unknown,3785
organization,Unknown,164575
person,Country_271835,Spencer King
person,Country_271835,Dawn Oconnell
