type,country,id,neighbor_count
company,Nalakond,Spanish Shrimp  Carriers,61
organization,Unknown,12744,3
organization,Unknown,143129355,4
organization,Unknown,7775,6
organization,Unknown,1017141,3
organization,Unknown,2591586,7
organization,Unknown,185040354,19
company,Rio Isla,Faroe Islands Shrimp Shark,88
organization,Unknown,341411,151
organization,Unknown,21323516,0
Uncategorized,Unknown,âvictimâ,1
Uncategorized,Unknown,âperpetratorâ,0
organization,Unknown,8561,0
person,Country_271835,William Bradley,6
person,Country_271835,Joseph Griffin,1
Uncategorized,Unknown,âŠâ,0
organization,Unknown,853949688,1
organization,Unknown,650512,0
organization,Unknown,8,1
organization,Unknown,128692,4
organization,Unknown,172711,0
person,Country_789455,Jacob Caldwell,9
organization,Unknown,14253815,2
location,Unknown,4369922c-ce1d-40ff-904c-1f6a3000bf6b,0
company,Country_271835,Saltwater Solitude GmbH & Co. KG,2
Uncategorized,Unknown,PRK,2
Uncategorized,Unknown,âVikingâ,1
organization,Unknown,506,1
organization,Unknown,4937447,1
Uncategorized,Unknown,âregularâ,1
organization,Unknown,2079436,0
person,Osterivaria,Ann Daniels,2
person,Osterivaria,Stephanie Mccormick MD,1
person,Country_271835,Lisa Clay,0
organization,Unknown,589,3
person,Country_712875,Elizabeth Welch,7
location,Unknown,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,2
person,Country_271835,Eugene Ochoa,0
organization,Unknown,967900443,14
person,Country_271835,Lisa Jimenez,0
organization,Unknown,1,5
location,Unknown,445a6124-4650-4e5a-83bb-a0e0b4040ee9,1
person,Country_271835,Martha Robbins,2
person,Country_271835,Don Hopkins,1
person,Country_271835,Joseph Gray,0
organization,Unknown,4,32
organization,Unknown,4975,6
organization,Unknown,7282284,1
organization,Unknown,0,7
person,Country_271835,Sean Vasquez,1
organization,Unknown,196159,19
organization,Unknown,755,4
organization,Unknown,860067396,1
organization,Unknown,664738735,4
organization,Unknown,290834957,20
person,Country_271835,Timothy Reeves,3
organization,Unknown,457009514,2
organization,Unknown,6043477,2
organization,Unknown,526269,0
person,Oceanus,Jason Cameron,4
