source,BOCnt,CCCnt
1 AS Marine sanctuary,1,1
1 Ltd. Liability Co Cargo,1,0
1 and Sagl Forwading,1,1
2 Incorporated and Son's,1,1
2 Limited Liability Company,2,2
2 Ltd. Liability Co,1,1
3 S.p.A. and Son's,2,1
4 Limited Liability Company Seaport,4,1
4 N.V. Marine biology,2,1
5 Limited Liability Company,2,1
6 Barge Oyj Cargo,4,1
6 LC & Son's,1,1
7 GmbH & Co. KG,4,1
7 Ltd. Liability Co Express,4,1
8 Ltd. Liability Co,2,1
8 SE Marine life,23,1
9 GmbH & Co. KG Solutions,2,1
9 Shark S.A. de C.V. Brothers,2,1
9 Swordfish Ltd Carriers,2,1
AB Limited Liability Company,2,1
"Abbott, Carrillo and Frederick",1,0
"Abbott, Lewis and Davis",1,0
Abbott-Norman,1,0
Acevedo Ltd,1,0
"Acevedo, Dickson and Gonzalez",1,0
"Acevedo, Fowler and Duncan",1,0
Acevedo-Griffin,1,0
Acosta Ltd,1,0
"Acosta, Gibson and Jones",1,0
"Acosta, Johnson and Ball",1,0
"Acosta, Sanchez and Klein",1,0
Acosta-Saunders,1,0
Adair Corporation Marine biology,2,1
Adair S.A. de C.V.,24,1
Adams Group,1,0
Adams PLC,1,0
Adams and Sons,1,1
"Adams, Brown and Brown",1,0
"Adams, Clark and Martinez",1,0
"Adams, Johnson and Calderon",1,0
"Adams, Mccall and Smith",1,0
"Adams, Munoz and Carson",1,0
"Adams, Ramos and Patel",1,0
"Adams, Suarez and Bailey",1,0
"Adams, Taylor and Brown",1,0
Adams-Duran,1,0
Adams-Gilmore,1,0
Adams-Howell,1,0
Adams-Knight,1,0
Adams-Pope,1,0
Adams-Russell,1,0
Adams-Schmidt,1,0
Adams-Wilson,2,0
"Adkins, Long and Elliott",1,0
Adkins-Shepherd,1,0
Adkins-Simmons,1,0
Adriatic  Seabass LC Transportation,1,1
Adriatic Catch Ges.m.b.H. Forwading,1,1
Adriatic Catch Ges.m.b.H. Marine biology,2,1
Adriatic Catch Ltd Transport,4,1
Adriatic Catch S.A. de C.V.,5,1
Adriatic Catch SRL Seal,1,1
Adriatic Mackerel Ges.m.b.H. Worldwide,4,1
Adriatic Squid AG Express,1,1
Adriatic Squid AS Holdings,16,1
Adriatic Squid Ltd. Liability Co,3,2
Adriatic Tuna Seabass BV Transit,3,1
Adriatic Tuna Shipyard GmbH United,1,1
Agua Limited Liability Company Services,1,1
Agua Ltd. Liability Co,11,2
Agua N.V. Marine life,15,1
Aguamarina S.A. de C.V.,22,1
Aguilar Group,2,0
Aguilar Inc,1,0
Aguilar LLC,1,0
"Aguilar, Brown and Haynes",1,0
"Aguilar, Gray and Murray",1,0
"Aguilar, Powell and Sandoval",1,0
Aguilar-Blake,1,0
Aguilar-Hoover,1,0
Aguilar-Olson,1,0
Aguilar-Torres,1,0
Aguirre Inc,1,0
Aguirre Ltd,1,0
Aguirre PLC,1,1
"Aguirre, Pierce and Shelton",1,0
"Aguirre, Reese and Munoz",1,0
Albertine Rift  LLC Line,2,1
Albertine Rift  NV Family,3,1
Albertine Rift  OJSC Transport,1,1
Alexander Group,1,0
Alexander LLC,2,0
Alexander Ltd,1,0
Alexander PLC,1,0
"Alexander, Greene and Boyd",1,0
"Alexander, Greer and Roberts",1,0
"Alexander, Jackson and Contreras",1,0
"Alexander, Johnson and Thomas",1,0
"Alexander, Lopez and Taylor",1,0
"Alexander, Wheeler and Bowen",1,0
Alexander-Lewis,1,0
Alexander-Smith,1,0
Ali Ltd,1,0
Ali-Barrett,1,0
Allen Group,1,2
Allen LLC,1,0
Allen Ltd,2,2
Allen PLC,1,1
Allen and Sons,2,0
"Allen, Adams and Davis",1,0
"Allen, Anderson and Petty",1,0
"Allen, Hayes and Smith",1,0
"Allen, Lam and Gibbs",1,0
"Allen, Robertson and Stevens",1,0
"Allen, Thompson and Gonzales",1,0
Allen-Adams,1,0
Allen-Barrera,1,0
Allen-Bishop,1,0
Allen-Carlson,1,0
Allen-Chavez,1,0
Allen-Estrada,1,0
Allen-Gonzalez,1,0
Allen-Griffin,1,0
Allen-Lewis,1,0
Allen-Lynch,1,0
Allen-Mayer,1,0
Allen-Rowe,1,0
Allen-Santiago,1,0
Allen-Spence,1,0
Allison LLC,1,0
Allison and Sons,1,1
Alvarado Group,1,0
Alvarado LLC,2,0
Alvarado Ltd,1,0
Alvarado PLC,1,0
"Alvarado, Dodson and Terry",1,0
"Alvarado, Stewart and Kelly",1,0
Alvarez Group,1,0
Alvarez LLC,2,0
Alvarez Ltd,1,1
Alvarez PLC,2,0
"Alvarez, Johnson and Mitchell",1,0
"Alvarez, Sanders and Thomas",1,0
"Alvarez, Young and Ramos",1,0
Alvarez-Frye,1,0
Alvarez-Johnson,1,0
Alvarez-Thomas,1,0
Alvarez-White,1,0
Amerigo Incorporated Marine ecology,2,1
Amerigo River S.p.A. Express,3,1
Amur  GmbH & Co. KG,5,1
Amur  Ltd. Liability Co,2,1
Ancla Azul ОАО Holdings,2,2
Ancla Marina Limited Liability Company,1,1
Ancla de Oro Anchor,2,1
Ancla de Oro Rybachit N.V. & Son's,1,0
Ancla de Oro Transit,4,1
Ancla del Este AG,2,1
Ancla del Este AS,4,1
Ancla del Este Incorporated Solutions,5,1
Ancla del Este LLC,1,2
Ancla del Este Ltd. Liability Co,3,1
Ancla del Este OJSC,2,1
Ancla del Este Sp Fish,15,0
Ancla del Este Tsunami,4,1
Ancla del Este ОАО,8,1
Ancla del Mar Corp,2,1
Ancla del Mar Express,4,1
Ancla del Mar LC,2,1
Ancla del Mar Pic Worldwide,3,1
Andaman  Jetty S.A. de C.V. Marine ecology,2,1
Andersen and Sons,2,0
"Andersen, Warren and Jacobs",1,0
Andersen-Beck,1,0
Andersen-Vasquez,1,0
Anderson Group,4,1
Anderson Inc,3,2
Anderson Ltd,2,1
Anderson PLC,2,0
Anderson and Sons,2,2
"Anderson, Castaneda and Clark",1,0
"Anderson, Coleman and Boyd",1,0
"Anderson, Daniels and Osborne",1,0
"Anderson, Hernandez and Foster",1,0
"Anderson, Hull and Torres",1,0
"Anderson, Johnson and Jones",1,0
"Anderson, Johnson and Rice",1,0
"Anderson, Johnson and Sanchez",1,0
"Anderson, Kelley and Mccormick",1,0
"Anderson, Lee and Huang",1,0
"Anderson, Lewis and Dalton",1,0
"Anderson, Nelson and Ryan",1,0
"Anderson, Tucker and Sims",1,0
Anderson-Bell,1,0
Anderson-Brewer,1,0
Anderson-Carter,1,0
Anderson-Charles,1,0
Anderson-Coleman,1,0
Anderson-Crane,1,0
Anderson-Crawford,1,0
Anderson-Harrison,1,0
Anderson-Mccoy,2,0
Anderson-Mcpherson,1,0
Anderson-Miller,1,0
Anderson-Murphy,1,0
Anderson-Owen,1,0
Anderson-Robinson,1,0
Anderson-Ross,1,0
Anderson-Snyder,1,0
Anderson-Stone,1,0
Anderson-Sullivan,1,0
Anderson-Zimmerman,1,0
Andhra Pradesh   CJSC Merchants,3,1
Andhra Pradesh   Limited Liability Company,4,1
Andhra Pradesh   Ltd. Corporation,2,1
Andhra Pradesh   Plc Line,3,1
Andhra Pradesh   S.A. de C.V.,4,1
Andhra Pradesh   Sextant Oyj Forwading,10,0
Andhra Pradesh  Limited Liability Company Ray,1,0
Andhra Pradesh  OJSC Marine conservation,1,1
Andhra Pradesh  OJSC Marine ecology,3,1
Andhra Pradesh  Pic Laksa,1,1
Andhra Pradesh  Sp Worldwide,26,1
Andrade Ltd,1,0
Andrade-Berger,1,0
Andrews LLC,1,0
"Andrews, Finley and Mcdaniel",1,0
"Andrews, Leach and Jordan",1,0
"Andrews, Rodriguez and Potts",1,0
"Andrews, Steele and Johnson",1,0
"Andrews, Woods and Key",1,0
Andrews-Nichols,1,0
Angrapa S.A. de C.V.,6,3
Anthony Pelican Corporation Export,2,1
"Anthony, Vazquez and Melendez",1,0
Anthony-Jones,1,0
Anthony-Mccarthy,1,0
Anthony-Page,1,0
Aqua Advancements Sashimi SE Express,2,1
Aqua Adventures GmbH Worldwide,1,1
Aqua Adventures Ltd. Corporation,1,1
Aqua Adventures Ltd. Liability Co,1,1
Aqua Adventures N.V. Forwading,4,1
Aqua Adventures Seagrass Kga Cargo,1,1
Aqua Ambassadors Corporation Consulting,2,1
Aqua Ambassadors Sp Family,6,1
Aqua Ambassadors Sp Transit,12,1
Aqua Anchor Kga Holdings,6,1
Aqua Anchor Ltd Line,2,1
Aqua Anchor Pic Solutions,2,1
Aqua Anchor Sagl Marine sanctuary,15,1
Aqua Anchor Salt spray Incorporated Marine biology,1,0
Aqua Aura SE Marine life,36,11
Aqua Aura and Kga Family,2,1
Aqua Azul LC International,3,0
Aqua Gourmet AG Consulting,2,1
Aqua Gourmet Company Line,2,1
Aqua Gourmet Incorporated Creek,30,1
Aqua Mermaid NV and Son's,3,0
Aqua Mermaid Pic Overseas,4,0
Aqua Ventures Incorporated Enterprises,1,1
Aqua Ventures LLC Export,2,1
Aqua Ventures S.A. de C.V. Seafood,3,1
Aqua Ventures Sp Overseas,5,1
AquaBite Port SE Logistics,2,1
AquaBlue Sailboat LC Express,3,0
AquaCuisine  Ltd. Liability Co,2,0
AquaCuisine AG Marine mist,7,1
AquaDelicious GmbH & Co. KG,3,1
AquaDelicious S.A. de C.V. Overseas,7,1
AquaDelight S.A. de C.V. Delivery,2,1
AquaFare Seaside SRL Express,2,0
AquaFin Eel S.A. de C.V. Marine sanctuary,2,1
AquaTrek Otter S.A. de C.V. Consultants,4,1
Aquatic Adventures GmbH & Co. KG,4,1
Aquatic Adventures GmbH Brothers,3,1
Arabian Sea  Oyj Holdings,1,1
Arabian Sea  Sp Express,2,1
Arawak Limited Liability Company,2,1
Arawak Ltd. Liability Co,2,1
Arawak Pelican Ltd. Liability Co and Son's,2,1
Arawak Sagl Marine sanctuary,2,1
"Archer, Andrews and Bennett",1,0
